Date,Open,High,Low,Close
9/9/2022,"4,022.94","4,076.81","4,022.94","4,067.36"
9/8/2022,"3,959.94","4,010.50","3,944.81","4,006.18"
9/7/2022,"3,909.43","3,987.89","3,906.03","3,979.87"
9/6/2022,"3,930.89","3,942.55","3,886.75","3,908.19"
9/2/2022,"3,996.39","4,018.43","3,906.21","3,924.26"
9/1/2022,"3,936.73","3,970.23","3,903.65","3,966.85"
8/31/2022,"4,000.67","4,015.37","3,954.53","3,955.00"
8/30/2022,"4,041.25","4,044.98","3,965.21","3,986.16"
8/29/2022,"4,034.58","4,062.99","4,017.42","4,030.61"
8/26/2022,"4,198.74","4,203.04","4,057.66","4,057.66"
8/25/2022,"4,153.26","4,200.54","4,147.59","4,199.12"
8/24/2022,"4,126.55","4,156.56","4,119.97","4,140.77"
8/23/2022,"4,133.09","4,159.77","4,124.03","4,128.73"
8/22/2022,"4,195.08","4,195.08","4,129.86","4,137.99"
8/19/2022,"4,266.31","4,266.31","4,218.70","4,228.48"
8/18/2022,"4,273.13","4,292.53","4,261.98","4,283.74"
8/17/2022,"4,280.40","4,302.18","4,253.08","4,274.04"
8/16/2022,"4,290.46","4,325.28","4,277.77","4,305.20"
8/15/2022,"4,269.37","4,301.79","4,256.90","4,297.14"
8/12/2022,"4,225.02","4,280.47","4,219.78","4,280.15"
8/11/2022,"4,227.40","4,257.91","4,201.41","4,207.27"
8/10/2022,"4,181.02","4,211.03","4,177.26","4,210.24"
8/9/2022,"4,133.11","4,137.30","4,112.09","4,122.47"
8/8/2022,"4,155.93","4,186.62","4,128.97","4,140.06"
8/5/2022,"4,115.87","4,151.58","4,107.31","4,145.19"
8/4/2022,"4,154.85","4,161.29","4,135.42","4,151.94"
8/3/2022,"4,107.96","4,167.66","4,107.96","4,155.17"
8/2/2022,"4,104.21","4,140.47","4,079.81","4,091.19"
8/1/2022,"4,112.38","4,144.95","4,096.02","4,118.63"
7/29/2022,"4,087.33","4,140.15","4,079.22","4,130.29"
7/28/2022,"4,026.13","4,078.95","3,992.97","4,072.43"
7/27/2022,"3,951.43","4,039.56","3,951.43","4,023.61"
7/26/2022,"3,953.22","3,953.22","3,910.74","3,921.05"
7/25/2022,"3,965.72","3,975.30","3,943.46","3,966.84"
7/22/2022,"3,998.43","4,012.44","3,938.86","3,961.63"
7/21/2022,"3,955.47","3,999.29","3,927.64","3,998.95"
7/20/2022,"3,935.32","3,974.13","3,922.03","3,959.90"
7/19/2022,"3,860.73","3,939.81","3,860.73","3,936.69"
7/18/2022,"3,883.79","3,902.44","3,818.63","3,830.85"
7/15/2022,"3,818.00","3,863.62","3,817.18","3,863.16"
7/14/2022,"3,763.99","3,796.41","3,721.56","3,790.38"
7/13/2022,"3,779.67","3,829.44","3,759.07","3,801.78"
7/12/2022,"3,851.95","3,873.41","3,802.36","3,818.80"
7/11/2022,"3,880.94","3,880.94","3,847.22","3,854.43"
7/8/2022,"3,888.26","3,918.50","3,869.34","3,899.38"
7/7/2022,"3,858.85","3,910.63","3,858.85","3,902.62"
7/6/2022,"3,831.98","3,870.91","3,809.37","3,845.08"
7/5/2022,"3,792.61","3,832.19","3,742.06","3,831.39"
7/1/2022,"3,781.08","3,829.82","3,752.10","3,825.33"
6/30/2022,"3,785.99","3,818.99","3,738.67","3,785.38"
6/29/2022,"3,825.09","3,836.50","3,799.02","3,818.83"
6/28/2022,"3,913.00","3,945.86","3,820.14","3,821.55"
6/27/2022,"3,920.76","3,927.72","3,889.66","3,900.11"
6/24/2022,"3,821.75","3,913.65","3,821.75","3,911.74"
6/23/2022,"3,774.71","3,802.58","3,743.52","3,795.73"
6/22/2022,"3,733.89","3,801.79","3,717.69","3,759.89"
6/21/2022,"3,715.31","3,779.65","3,715.31","3,764.79"
6/17/2022,"3,665.90","3,707.71","3,636.87","3,674.84"
6/16/2022,"3,728.18","3,728.18","3,639.77","3,666.77"
6/15/2022,"3,764.05","3,837.56","3,722.30","3,789.99"
6/14/2022,"3,763.52","3,778.18","3,705.68","3,735.48"
6/13/2022,"3,838.15","3,838.15","3,734.30","3,749.63"
6/10/2022,"3,974.39","3,974.39","3,900.16","3,900.86"
6/9/2022,"4,101.65","4,119.10","4,017.17","4,017.82"
6/8/2022,"4,147.12","4,160.14","4,107.20","4,115.77"
6/7/2022,"4,096.47","4,164.86","4,080.19","4,160.68"
6/6/2022,"4,134.72","4,168.78","4,109.18","4,121.43"
6/3/2022,"4,137.57","4,142.67","4,098.67","4,108.54"
6/2/2022,"4,095.41","4,177.51","4,074.37","4,176.82"
6/1/2022,"4,149.78","4,166.54","4,073.85","4,101.23"
5/31/2022,"4,151.09","4,168.34","4,104.88","4,132.15"
5/27/2022,"4,077.25","4,158.49","4,077.43","4,158.24"
5/26/2022,"3,984.60","4,075.14","3,984.60","4,057.84"
5/25/2022,"3,929.59","3,999.33","3,925.03","3,978.73"
5/24/2022,"3,942.94","3,955.68","3,875.13","3,941.48"
5/23/2022,"3,919.42","3,981.88","3,909.04","3,973.75"
5/20/2022,"3,927.76","3,943.42","3,810.32","3,901.36"
5/19/2022,"3,899.00","3,945.96","3,876.58","3,900.79"
5/18/2022,"4,051.98","4,051.98","3,911.91","3,923.68"
5/17/2022,"4,052.00","4,090.72","4,033.93","4,088.85"
5/16/2022,"4,013.02","4,046.46","3,983.99","4,008.01"
5/13/2022,"3,963.90","4,038.88","3,963.90","4,023.89"
5/12/2022,"3,903.95","3,964.80","3,858.87","3,930.08"
5/11/2022,"3,990.08","4,049.09","3,928.82","3,935.18"
5/10/2022,"4,035.18","4,068.82","3,958.17","4,001.05"
5/9/2022,"4,081.27","4,081.27","3,975.48","3,991.24"
5/6/2022,"4,128.17","4,157.69","4,067.91","4,123.34"
5/5/2022,"4,270.43","4,270.43","4,106.01","4,146.87"
5/4/2022,"4,181.18","4,307.66","4,148.91","4,300.17"
5/3/2022,"4,159.78","4,200.10","4,147.08","4,175.48"
5/2/2022,"4,130.61","4,169.81","4,062.51","4,155.38"
4/29/2022,"4,253.75","4,269.68","4,124.28","4,131.93"
4/28/2022,"4,222.58","4,308.45","4,188.63","4,287.50"
4/27/2022,"4,186.52","4,240.71","4,162.90","4,183.96"
4/26/2022,"4,278.14","4,278.14","4,175.04","4,175.20"
4/25/2022,"4,255.34","4,299.02","4,200.82","4,296.12"
4/22/2022,"4,385.83","4,385.83","4,267.62","4,271.78"
4/21/2022,"4,489.17","4,512.94","4,384.47","4,393.66"
4/20/2022,"4,472.26","4,488.29","4,448.76","4,459.45"
4/19/2022,"4,390.63","4,471.03","4,390.63","4,462.21"
4/18/2022,"4,385.63","4,410.31","4,370.30","4,391.69"
4/14/2022,"4,449.12","4,460.46","4,390.77","4,392.59"
4/13/2022,"4,394.30","4,453.92","4,392.70","4,446.59"
4/12/2022,"4,437.59","4,471.00","4,381.34","4,397.45"
4/11/2022,"4,462.64","4,464.35","4,408.38","4,412.53"
4/8/2022,"4,494.15","4,520.41","4,474.60","4,488.28"
4/7/2022,"4,474.65","4,521.16","4,450.30","4,500.21"
4/6/2022,"4,494.17","4,503.94","4,450.04","4,481.15"
4/5/2022,"4,572.45","4,593.45","4,514.17","4,525.12"
4/4/2022,"4,547.97","4,583.50","4,539.21","4,582.64"
4/1/2022,"4,540.32","4,548.70","4,507.57","4,545.86"
3/31/2022,"4,599.02","4,603.07","4,530.41","4,530.41"
3/30/2022,"4,624.20","4,627.77","4,581.32","4,602.45"
3/29/2022,"4,602.86","4,637.30","4,589.66","4,631.60"
3/28/2022,"4,541.09","4,575.65","4,517.69","4,575.52"
3/25/2022,"4,522.91","4,546.03","4,501.07","4,543.06"
3/24/2022,"4,469.98","4,520.58","4,465.17","4,520.16"
3/23/2022,"4,493.10","4,501.07","4,455.81","4,456.24"
3/22/2022,"4,469.10","4,522.00","4,469.10","4,511.61"
3/21/2022,"4,462.40","4,481.75","4,424.30","4,461.18"
3/18/2022,"4,407.34","4,465.40","4,390.57","4,463.12"
3/17/2022,"4,345.11","4,412.67","4,335.65","4,411.67"
3/16/2022,"4,288.14","4,358.90","4,251.99","4,357.86"
3/15/2022,"4,188.82","4,271.05","4,187.90","4,262.45"
3/14/2022,"4,202.75","4,247.57","4,161.72","4,173.11"
3/11/2022,"4,279.50","4,291.01","4,200.49","4,204.31"
3/10/2022,"4,252.55","4,268.28","4,209.80","4,259.52"
3/9/2022,"4,223.10","4,299.40","4,223.10","4,277.88"
3/8/2022,"4,202.66","4,276.94","4,157.87","4,170.70"
3/7/2022,"4,327.01","4,327.01","4,199.85","4,201.09"
3/4/2022,"4,342.12","4,342.12","4,284.98","4,328.87"
3/3/2022,"4,401.31","4,416.78","4,345.56","4,363.49"
3/2/2022,"4,322.56","4,401.48","4,322.56","4,386.54"
3/1/2022,"4,363.14","4,378.45","4,279.54","4,306.26"
2/28/2022,"4,354.17","4,388.84","4,315.12","4,373.94"
2/25/2022,"4,298.38","4,385.34","4,286.83","4,384.65"
2/24/2022,"4,155.77","4,294.73","4,114.65","4,288.70"
2/23/2022,"4,324.93","4,341.51","4,221.51","4,225.50"
2/22/2022,"4,332.74","4,362.12","4,267.11","4,304.76"
2/18/2022,"4,384.57","4,394.60","4,327.22","4,348.87"
2/17/2022,"4,456.06","4,456.06","4,373.81","4,380.26"
2/16/2022,"4,455.75","4,489.55","4,429.68","4,475.01"
2/15/2022,"4,429.28","4,472.77","4,429.28","4,471.07"
2/14/2022,"4,412.61","4,426.22","4,364.84","4,401.67"
2/11/2022,"4,506.27","4,526.33","4,401.41","4,418.64"
2/10/2022,"4,553.24","4,588.92","4,484.31","4,504.08"
2/9/2022,"4,547.00","4,590.03","4,547.00","4,587.18"
2/8/2022,"4,480.02","4,531.32","4,465.40","4,521.54"
2/7/2022,"4,505.75","4,521.86","4,471.47","4,483.87"
2/4/2022,"4,482.79","4,539.66","4,451.50","4,500.53"
2/3/2022,"4,535.41","4,542.88","4,470.39","4,477.44"
2/2/2022,"4,566.39","4,595.31","4,544.32","4,589.38"
2/1/2022,"4,519.57","4,550.49","4,483.53","4,546.54"
1/31/2022,"4,431.79","4,516.89","4,414.02","4,515.55"
1/28/2022,"4,336.19","4,432.72","4,292.46","4,431.85"
1/27/2022,"4,380.58","4,428.74","4,309.50","4,326.51"
1/26/2022,"4,408.43","4,453.23","4,304.80","4,349.93"
1/25/2022,"4,366.64","4,411.01","4,287.11","4,356.45"
1/24/2022,"4,356.32","4,417.35","4,222.62","4,410.13"
1/21/2022,"4,471.38","4,494.52","4,395.34","4,397.94"
1/20/2022,"4,547.35","4,602.11","4,477.95","4,482.73"
1/19/2022,"4,588.03","4,611.55","4,530.20","4,532.76"
1/18/2022,"4,632.24","4,632.24","4,568.70","4,577.11"
1/14/2022,"4,637.99","4,665.13","4,614.75","4,662.85"
1/13/2022,"4,733.56","4,744.13","4,650.29","4,659.03"
1/12/2022,"4,728.59","4,748.83","4,706.71","4,726.35"
1/11/2022,"4,669.14","4,714.13","4,638.27","4,713.07"
1/10/2022,"4,655.34","4,673.02","4,582.24","4,670.29"
1/7/2022,"4,697.66","4,707.95","4,662.74","4,677.03"
1/6/2022,"4,693.39","4,725.01","4,671.26","4,696.05"
1/5/2022,"4,787.99","4,797.70","4,699.44","4,700.58"
1/4/2022,"4,804.51","4,818.62","4,774.27","4,793.54"
1/3/2022,"4,778.14","4,796.64","4,758.17","4,796.56"
